timestamp,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,hour,dayofweek,month,is_weekend
2007-05-24T13:36:00.000Z,0.22,0.0,237.4,1.0,0.0,0.0,0.0,13,5,5,0
2007-05-24T13:37:00.000Z,0.22,0.0,237.15,1.0,0.0,0.0,0.0,13,5,5,0
2007-05-24T13:38:00.000Z,0.22,0.0,236.58,1.0,0.0,0.0,0.0,13,5,5,0
2007-05-24T13:39:00.000Z,0.218,0.0,236.03,1.0,0.0,0.0,0.0,13,5,5,0
2007-05-24T13:40:00.000Z,0.22,0.0,236.57,1.0,0.0,0.0,0.0,13,5,5,0
2007-05-24T13:41:00.000Z,0.22,0.0,236.66,1.0,0.0,0.0,0.0,13,5,5,0
2007-05-24T13:42:00.000Z,0.244,0.0,236.46,1.2,0.0,0.0,0.0,13,5,5,0
2007-05-24T13:43:00.000Z,0.298,0.066,236.69,1.2,0.0,0.0,0.0,13,5,5,0
2007-05-24T13:44:00.000Z,0.298,0.068,237.42,1.2,0.0,0.0,0.0,13,5,5,0
2007-05-24T13:45:00.000Z,0.298,0.066,236.83,1.2,0.0,0.0,0.0,13,5,5,0
2007-05-24T13:46:00.000Z,0.296,0.064,236.47,1.2,0.0,0.0,0.0,13,5,5,0
2007-05-24T13:47:00.000Z,0.294,0.064,236.09,1.2,0.0,0.0,0.0,13,5,5,0
2007-05-24T13:48:00.000Z,0.292,0.062,236.02,1.2,0.0,0.0,0.0,13,5,5,0
2007-05-24T13:49:00.000Z,0.288,0.06,235.08,1.2,0.0,0.0,0.0,13,5,5,0
2007-05-24T13:50:00.000Z,0.288,0.062,235.63,1.2,0.0,0.0,0.0,13,5,5,0
2007-05-24T13:51:00.000Z,0.288,0.062,235.64,1.2,0.0,0.0,0.0,13,5,5,0
2007-05-24T13:52:00.000Z,0.288,0.062,236.16,1.2,0.0,0.0,0.0,13,5,5,0
2007-05-24T13:53:00.000Z,0.288,0.062,236.01,1.2,0.0,0.0,0.0,13,5,5,0
2007-05-24T13:54:00.000Z,0.288,0.062,236.29,1.2,0.0,0.0,0.0,13,5,5,0
2007-05-24T13:55:00.000Z,0.288,0.062,236.22,1.2,0.0,0.0,0.0,13,5,5,0
2007-05-24T13:56:00.000Z,0.332,0.1,235.72,1.6,0.0,0.0,0.0,13,5,5,0
2007-05-24T13:57:00.000Z,0.332,0.092,235.74,1.4,0.0,0.0,0.0,13,5,5,0
2007-05-24T13:58:00.000Z,0.328,0.09,236.13,1.4,0.0,0.0,0.0,13,5,5,0
2007-05-24T13:59:00.000Z,0.324,0.086,234.77,1.4,0.0,0.0,0.0,13,5,5,0
