timestamp,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,hour,dayofweek,month,is_weekend
2007-01-06T13:28:00.000Z,1.588,0.0,239.3,6.8,0.0,0.0,18.0,13,7,1,1
2007-01-06T13:29:00.000Z,1.628,0.072,238.85,7.0,0.0,0.0,17.0,13,7,1,1
2007-01-06T13:30:00.000Z,1.664,0.132,238.88,7.2,0.0,0.0,18.0,13,7,1,1
2007-01-06T13:31:00.000Z,1.666,0.136,239.26,7.0,0.0,0.0,17.0,13,7,1,1
2007-01-06T13:32:00.000Z,1.654,0.136,238.86,7.0,0.0,0.0,18.0,13,7,1,1
2007-01-06T13:33:00.000Z,1.668,0.14,239.79,7.0,0.0,0.0,17.0,13,7,1,1
2007-01-06T13:34:00.000Z,1.784,0.276,239.73,7.6,0.0,0.0,18.0,13,7,1,1
2007-01-06T13:35:00.000Z,1.766,0.27,239.81,7.6,0.0,0.0,17.0,13,7,1,1
2007-01-06T13:36:00.000Z,1.758,0.264,239.34,7.6,0.0,0.0,18.0,13,7,1,1
2007-01-06T13:37:00.000Z,1.75,0.264,239.04,7.4,0.0,0.0,17.0,13,7,1,1
2007-01-06T13:38:00.000Z,1.74,0.258,238.35,7.4,0.0,0.0,18.0,13,7,1,1
2007-01-06T13:39:00.000Z,1.708,0.208,238.91,7.4,0.0,0.0,17.0,13,7,1,1
2007-01-06T13:40:00.000Z,1.67,0.158,238.0,7.2,0.0,0.0,18.0,13,7,1,1
2007-01-06T13:41:00.000Z,1.664,0.158,237.91,7.2,0.0,0.0,17.0,13,7,1,1
2007-01-06T13:42:00.000Z,1.658,0.156,237.53,7.2,0.0,0.0,17.0,13,7,1,1
2007-01-06T13:43:00.000Z,1.664,0.158,238.07,7.2,0.0,0.0,18.0,13,7,1,1
2007-01-06T13:44:00.000Z,1.662,0.158,237.78,7.2,0.0,0.0,17.0,13,7,1,1
2007-01-06T13:45:00.000Z,1.658,0.158,237.8,7.2,0.0,0.0,17.0,13,7,1,1
2007-01-06T13:46:00.000Z,1.658,0.158,237.74,7.2,0.0,0.0,18.0,13,7,1,1
2007-01-06T13:47:00.000Z,1.658,0.158,237.94,7.2,0.0,0.0,17.0,13,7,1,1
2007-01-06T13:48:00.000Z,1.666,0.158,237.94,7.2,0.0,0.0,17.0,13,7,1,1
2007-01-06T13:49:00.000Z,1.656,0.154,237.35,7.2,0.0,0.0,18.0,13,7,1,1
2007-01-06T13:50:00.000Z,1.636,0.122,237.72,7.0,0.0,0.0,17.0,13,7,1,1
2007-01-06T13:51:00.000Z,1.564,0.0,237.66,6.8,0.0,0.0,17.0,13,7,1,1
2007-01-06T13:52:00.000Z,1.564,0.0,237.49,6.8,0.0,0.0,17.0,13,7,1,1
2007-01-06T13:53:00.000Z,1.638,0.0,237.82,7.0,0.0,0.0,18.0,13,7,1,1
2007-01-06T13:54:00.000Z,1.818,0.0,238.48,7.6,0.0,0.0,17.0,13,7,1,1
2007-01-06T13:55:00.000Z,1.82,0.0,238.76,7.6,0.0,0.0,18.0,13,7,1,1
2007-01-06T13:56:00.000Z,1.852,0.0,238.31,7.8,0.0,0.0,17.0,13,7,1,1
2007-01-06T13:57:00.000Z,1.884,0.0,238.15,8.0,0.0,0.0,17.0,13,7,1,1
2007-01-06T13:58:00.000Z,1.588,0.0,238.31,6.8,0.0,0.0,18.0,13,7,1,1
2007-01-06T13:59:00.000Z,1.478,0.0,237.9,6.2,0.0,0.0,17.0,13,7,1,1
2007-01-06T14:00:00.000Z,1.478,0.0,237.8,6.2,0.0,0.0,17.0,14,7,1,1
