timestamp,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,hour,dayofweek,month,is_weekend
2007-05-17T14:56:00.000Z,1.352,0.0,236.5,5.6,1.0,0.0,17.0,14,5,5,0
2007-05-17T14:57:00.000Z,1.322,0.0,235.76,5.6,2.0,0.0,17.0,14,5,5,0
2007-05-17T14:58:00.000Z,1.348,0.0,236.58,5.6,1.0,0.0,17.0,14,5,5,0
2007-05-17T14:59:00.000Z,1.332,0.0,236.85,5.6,1.0,0.0,17.0,14,5,5,0
2007-05-17T15:00:00.000Z,1.342,0.0,236.18,5.6,1.0,1.0,17.0,15,5,5,0
2007-05-17T15:01:00.000Z,1.326,0.0,236.23,5.6,2.0,0.0,17.0,15,5,5,0
2007-05-17T15:02:00.000Z,1.386,0.0,236.55,5.8,1.0,0.0,17.0,15,5,5,0
2007-05-17T15:03:00.000Z,1.516,0.0,236.61,6.4,1.0,0.0,18.0,15,5,5,0
2007-05-17T15:04:00.000Z,1.508,0.0,236.12,6.4,1.0,0.0,17.0,15,5,5,0
2007-05-17T15:05:00.000Z,1.51,0.0,236.07,6.4,2.0,0.0,17.0,15,5,5,0
2007-05-17T15:06:00.000Z,1.444,0.0,236.57,6.0,1.0,0.0,17.0,15,5,5,0
2007-05-17T15:07:00.000Z,2.404,0.0,235.79,11.0,16.0,0.0,17.0,15,5,5,0
2007-05-17T15:08:00.000Z,3.444,0.048,233.75,14.6,37.0,0.0,17.0,15,5,5,0
2007-05-17T15:09:00.000Z,3.442,0.046,233.87,14.6,37.0,0.0,16.0,15,5,5,0
2007-05-17T15:10:00.000Z,3.458,0.0,234.57,14.6,37.0,0.0,17.0,15,5,5,0
2007-05-17T15:11:00.000Z,3.57,0.074,234.62,15.2,36.0,0.0,17.0,15,5,5,0
2007-05-17T15:12:00.000Z,3.548,0.076,234.1,15.0,37.0,0.0,17.0,15,5,5,0
2007-05-17T15:13:00.000Z,3.576,0.074,235.44,15.2,37.0,0.0,17.0,15,5,5,0
2007-05-17T15:14:00.000Z,3.56,0.07,234.9,15.0,37.0,0.0,17.0,15,5,5,0
2007-05-17T15:15:00.000Z,3.554,0.072,234.92,15.0,37.0,0.0,17.0,15,5,5,0
2007-05-17T15:16:00.000Z,3.688,0.068,234.8,15.6,37.0,0.0,17.0,15,5,5,0
2007-05-17T15:17:00.000Z,3.174,0.066,235.67,13.8,29.0,0.0,16.0,15,5,5,0
